distance_km,duration_minutes,demand_index,traffic_level,weather_condition,day_of_week,hour_of_day,vehicle_type,ride_fare
6.24,17.9,1.15,3,Clear,Wed,12,Bike,77.73
14.31,51.3,1.12,9,Clear,Thu,8,Car,390.99
11.25,47.8,2.77,5,Clear,Sun,20,Bike,170.49
9.38,37.2,1.12,8,Clear,Wed,12,Auto,194.19
3.18,13.1,1.18,7,Rainy,Thu,11,Car,143.22
3.18,12.1,2.4,8,Stormy,Mon,12,Bike,80.0
1.81,7.0,1.62,7,Clear,Fri,23,Bike,32.17
13.13,55.1,2.44,3,Clear,Sun,9,Bike,191.86
9.42,28.3,0.66,2,Clear,Wed,0,Auto,130.58
10.91,38.0,1.72,7,Clear,Sun,7,Auto,191.98
1.29,3.8,0.58,3,Clear,Thu,21,Bike,41.88
14.58,65.3,0.66,3,Clear,Fri,15,Bike,174.06
12.65,55.5,2.77,2,Rainy,Sun,12,Bike,202.75
3.97,10.2,0.85,4,Clear,Wed,2,Bike,52.47
3.55,13.9,1.83,8,Clear,Tue,2,Bike,73.25
3.57,15.5,1.53,1,Rainy,Thu,23,Car,142.19
5.26,15.0,1.37,1,Rainy,Tue,4,Bike,56.82
8.35,30.4,2.75,5,Clear,Mon,10,Car,240.79
7.05,30.5,0.55,5,Clear,Tue,6,Auto,118.74
5.08,13.0,2.16,1,Clear,Tue,20,Bike,65.78
9.57,37.3,2.91,6,Rainy,Sat,23,Auto,179.44
2.95,9.1,1.9,1,Rainy,Thu,9,Auto,56.9
5.09,22.1,2.84,5,Clear,Mon,9,Bike,78.19
6.13,27.2,0.63,9,Clear,Tue,19,Bike,97.88
7.38,32.4,1.55,5,Rainy,Fri,1,Bike,115.36
11.99,41.3,1.15,6,Clear,Wed,2,Bike,137.31
3.8,16.1,2.33,8,Clear,Tue,7,Bike,88.9
8.2,34.4,2.95,1,Clear,Mon,10,Bike,139.98
9.29,29.2,1.14,2,Clear,Tue,12,Bike,113.83
1.65,6.9,2.14,9,Clear,Wed,6,Bike,50.11
9.51,24.5,1.0,3,Rainy,Mon,12,Bike,108.54
3.39,12.5,1.91,6,Rainy,Thu,1,Bike,59.04
1.91,5.7,1.66,5,Clear,Mon,5,Bike,23.75
14.28,39.1,2.93,2,Clear,Thu,8,Car,361.6
14.52,38.5,2.02,7,Clear,Mon,19,Bike,176.82
12.32,48.0,1.37,4,Clear,Sun,1,Auto,217.81
5.26,16.7,0.79,1,Clear,Wed,17,Bike,67.65
2.37,9.4,0.88,4,Rainy,Wed,15,Car,103.82
10.58,27.8,1.06,6,Clear,Mon,11,Bike,88.98
7.16,22.4,1.13,7,Clear,Sun,6,Car,177.69
2.71,9.7,2.63,7,Clear,Tue,6,Auto,67.86
7.93,32.4,1.9,7,Rainy,Wed,16,Bike,142.56
1.48,4.6,1.81,3,Rainy,Thu,12,Car,85.74
13.73,51.5,0.79,6,Rainy,Thu,10,Auto,234.79
4.62,19.7,2.65,8,Rainy,Fri,5,Bike,109.59
10.28,38.4,2.31,4,Clear,Sat,22,Auto,188.3
5.36,15.9,0.67,8,Clear,Sun,13,Car,173.77
8.28,21.1,2.27,2,Clear,Sat,5,Bike,84.01
8.65,36.7,1.86,9,Clear,Sat,5,Bike,146.26
3.59,9.1,0.7,9,Clear,Thu,1,Auto,87.37
14.57,61.9,1.65,8,Clear,Fri,21,Auto,270.38
11.85,42.2,1.71,1,Clear,Sat,19,Car,311.99
14.15,62.0,0.91,2,Clear,Sat,14,Auto,223.38
13.53,55.4,2.86,6,Clear,Mon,16,Bike,199.94
9.37,42.1,2.62,5,Rainy,Mon,7,Car,316.19
13.91,44.5,2.17,9,Clear,Mon,4,Bike,211.09
2.24,9.0,1.66,5,Clear,Tue,16,Bike,44.28
3.74,12.4,1.53,2,Clear,Sat,19,Auto,86.92
1.63,5.6,2.13,4,Clear,Tue,0,Auto,57.17
5.55,20.8,1.86,9,Clear,Fri,21,Bike,89.8
6.44,27.4,0.66,1,Clear,Sun,17,Auto,119.95
4.8,21.4,1.78,1,Clear,Thu,14,Bike,73.65
12.6,50.9,2.52,7,Clear,Sat,4,Bike,181.14
5.99,20.0,1.65,3,Clear,Thu,6,Car,167.21
4.93,16.5,0.63,2,Clear,Sun,17,Bike,75.81
8.6,34.2,2.47,9,Clear,Mon,5,Bike,153.98
2.97,8.8,1.0,3,Clear,Sat,21,Bike,48.07
12.23,33.3,1.15,2,Clear,Wed,20,Car,263.82
2.04,6.5,0.91,8,Clear,Tue,4,Bike,32.94
14.82,45.6,1.33,6,Clear,Tue,18,Bike,170.4
11.81,36.5,2.39,6,Clear,Sat,9,Auto,193.07
3.78,11.2,1.8,7,Clear,Sun,14,Bike,41.83
1.08,2.8,1.01,7,Clear,Mon,9,Bike,16.57
12.42,31.5,2.69,6,Rainy,Tue,15,Auto,237.45
10.9,48.8,2.7,4,Rainy,Mon,11,Bike,178.68
11.21,37.6,2.68,9,Rainy,Fri,17,Car,402.01
11.8,38.6,1.1,6,Clear,Thu,22,Bike,134.92
2.04,7.9,1.63,4,Clear,Sun,0,Bike,56.74
6.02,17.7,2.96,3,Clear,Wed,15,Bike,104.19
2.62,11.5,2.43,4,Clear,Thu,21,Bike,48.34
13.08,53.3,0.57,3,Clear,Thu,5,Auto,182.21
9.73,26.1,0.66,2,Clear,Fri,2,Bike,86.94
5.63,18.8,1.66,5,Rainy,Tue,1,Bike,81.43
1.89,8.0,2.77,2,Clear,Wed,1,Auto,81.54
5.35,23.5,1.85,6,Rainy,Tue,12,Auto,120.48
5.55,19.1,1.74,3,Clear,Sat,8,Bike,83.31
11.21,41.8,0.76,6,Clear,Thu,15,Bike,147.16
9.93,28.1,2.14,9,Clear,Sat,4,Bike,146.25
13.42,60.2,2.56,1,Clear,Mon,22,Bike,200.47
7.61,22.6,1.45,6,Rainy,Thu,20,Bike,112.88
2.67,11.7,2.44,9,Clear,Tue,6,Auto,88.51
10.99,41.8,2.91,4,Clear,Thu,12,Car,323.2
11.65,43.3,1.01,2,Rainy,Mon,19,Bike,148.99
8.86,31.2,1.81,4,Clear,Fri,23,Bike,120.34
11.79,34.9,1.22,1,Stormy,Sat,12,Bike,187.14
7.91,22.6,2.48,3,Clear,Sat,6,Bike,126.4
8.32,24.5,1.94,9,Clear,Tue,9,Bike,127.88
6.99,20.1,2.09,5,Clear,Thu,14,Car,198.43
1.36,5.5,2.49,6,Clear,Tue,20,Auto,54.62
2.51,8.0,1.49,3,Clear,Fri,5,Car,92.82
1.44,3.8,2.79,5,Clear,Thu,4,Car,83.43
9.91,44.0,1.83,8,Rainy,Thu,22,Bike,193.09
5.4,23.0,0.89,6,Rainy,Tue,1,Auto,104.28
8.12,35.4,2.24,4,Clear,Tue,20,Bike,110.47
13.71,61.6,2.48,2,Clear,Mon,14,Bike,196.92
4.49,12.8,1.29,9,Clear,Sun,15,Car,149.56
6.75,22.2,2.64,1,Clear,Sun,18,Bike,110.13
11.58,46.5,2.77,1,Clear,Fri,8,Car,332.09
4.2,16.3,1.19,4,Clear,Sun,21,Bike,41.1
2.08,5.8,2.96,7,Clear,Mon,18,Car,89.25
5.06,20.9,0.85,1,Clear,Sat,6,Car,146.68
